ma,"ElGrandeToto, Pause, V, Park Hyo Shin, Morad, La Fouine, Bruno Mars, Billie Eilish, Figoshin, Lazaro, Tawsen, Ayoub Anbaoui, Baby Gang, Oli, SKY, Delarue, Duke, Kawtar, Leto, Ali S, Lacrim, Stormy, Lady Gaga, HD La Relève, JRK 19, Douaa Lahyaoui, KALIL, L'morphine, Najm, LFERDA, Samara, 7-Toun, Gazo, Jimin, ROSÉ, The Weeknd, Playboi Carti, Adam Port, Stryv, Keinemusik, Orso, Malachiii, FloyyMenor, HUGEL, Topic, Arash, Daecolm","arabic rap, raï, afro house, drill, k-pop, pop urbaine, k-ballad, khaleeji, melodic house, italian trap, sholawat, moroccan chaabi, egyptian hip hop, art pop, pop, rage rap, house, reggaeton chileno, chilean trap, latin house, tech house"
cy,"LEX, Dof Twogee, FLY LO, Beyond, TOQUEL, Roi 6/12, RACK, APON, Bruno Mars, Billie Eilish, The Weeknd, Ortiz, Strat, Mike G, Lady Gaga, Sin Laurent, Anna Vissi, Sicario, Marina Satti, Playboi Carti, Gracie Abrams, ROSÉ, Nikos Oikonomopoulos, Wang, Sadam, Mateos Nps, DIFF, BeTaf Beats, Gigi Perez, Arab, ASOK, Katerina Lioliou, Ioannis, Guè, Light, HUGEL, Topic, Arash, Daecolm, Anitta, Chappell Roan, Kendrick Lamar, Lefty Gunplay, Evangelia","trap, laïko, entehno, afro house, west coast hip hop, art pop, pop, rage rap, k-pop, italian trap, latin house, tech house, brazilian pop, funk pop, funk carioca, funk, pagode baiano, hip hop, mexican hip hop"
is,"fcrispim88, ICEGUYS, Herra Hnetusmjör, Aron Can, Bruno Mars, Billie Eilish, Gracie Abrams, HubbaBubba, BossPlay Vz, 4Mat B, Bwalis, Lady Gaga, The Weeknd, Playboi Carti, 4Mat P, Gigi Perez, Svala, Þórunn Antonía, Saint Pete, ROSÉ, Tyler, The Creator, Lola Young, Chappell Roan, Friðrik Dór, Steindi Jr., ClubDub, LEFA BLINKS, Floni, Gísli Pálmi, Kendrick Lamar, Lefty Gunplay, Labib, InstrumentaLAB, Daniil, Methro, Teddy Swims, Sabrina Carpenter, Birnir","afro soul, afrobeats, west coast hip hop, art pop, pop, rage rap, k-pop, hip hop, mexican hip hop"
ba,"Kendrick Lamar, Sabrina Carpenter, Jimin, Tito Double P, Bruno Mars, Billie Eilish, ROSÉ, SZA, Gracie Abrams, Rauw Alejandro, Tyler, The Creator, Lola Young, Peso Pluma, Lady Gaga, Gigi Perez, The Weeknd, Playboi Carti, Chappell Roan, KAROL G, Lefty Gunplay, Oscar Maydon, Fuerza Regida, Bad Bunny, GloRilla, Sexyy Red, Lil Wayne, Romeo Santos, yung kai, Henry Freitas, Mc Th, V, Park Hyo Shin, Tommy Richman, Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega, Benson Boone, Myke Towers, benny blanco, Eric Land, Natanzinho Lima, Ariana Grande, Teddy Swims, Myles Smith, Stromae, Pomme, Arcane","corridos tumbados, corrido, corridos bélicos, electro corridos, música mexicana, k-pop, sad sierreño, banda, hip hop, west coast hip hop, reggaeton, latin, urbano latino, trap latino, sierreño, r&b, forró, piseiro, arrocha, seresta, sertanejo, pop, brega, french pop, art pop, rage rap, mexican hip hop, rap, bachata, bachata pop, funk, funk carioca, brazilian funk, k-ballad, chanson"
hr,"Nucci, Crni Cerak, Biba, Hiljson Mandela, Grše, Peki, Rasta, Voyage, Miach, Bruno Mars, Ano, Sajfer, Jala Brat, Buba Corelli, Billie Eilish, The Weeknd, Devito, Vojko V, Cunami Flo, Neloe, Lady Gaga, Mili, Baks, BakaPrase, Lacku, Nikolija, Mimi Mercedez, Sanja Vucic, Senidah, PAVILLION, Jahve, INAS, Gigi Perez, Gracie Abrams, Playboi Carti, ROSÉ, Ceca, Coby, Chappell Roan, Relja, Anitta, Kendrick Lamar, Lefty Gunplay, Teddy Swims","gengetone, west coast hip hop, art pop, pop, rage rap, k-pop, folk pop, brazilian pop, funk pop, funk carioca, funk, pagode baiano, hip hop, mexican hip hop"
si,"Nucci, Grše, Biba, Bruno Mars, Voyage, Hiljson Mandela, Rasta, Crni Cerak, Gracie Abrams, Billie Eilish, Miach, Ano, ROSÉ, Peki, Fehtarji, Sajfer, Sabrina Carpenter, Lady Gaga, Gigi Perez, BakaPrase, Mili, The Weeknd, Playboi Carti, Chappell Roan, Cunami Flo, Neloe, Ceca, Kendrick Lamar, Lefty Gunplay, Jala Brat, Buba Corelli, PAVILLION, Jahve, Hozier, Nikolija, Senidah, Lacku, Mimi Mercedez, Noizy, Teddy Swims, Stromae, Pomme, Arcane, Devito, David Guetta, OneRepublic, Djexon, INAS, Sanja Vucic, Tyler, The Creator","k-pop, polka, gengetone, west coast hip hop, french pop, art pop, pop, rage rap, folk pop, hip hop, mexican hip hop, german hip hop, chanson, edm, dance, soft pop"
ee,"Billie Eilish, nublu, triibupasta, Kendrick Lamar, Sabrina Carpenter, Bruno Mars, The Weeknd, Playboi Carti, säm, Tyler, The Creator, Lola Young, Stromae, Pomme, Arcane, Chrystal, NOTION, Lady Gaga, Gigi Perez, maria kallastu, White Girl, Gracie Abrams, Tommy Cash, ROSÉ, Chappell Roan, villemdrillem, Anitta, Lefty Gunplay, BL3SS, CamrinWatsin, bbyclose, HUGEL, Topic, Arash, Daecolm, An-Marlen, Lost Frequencies, Tom Odell, Teddy Swims, GloRilla, Sexyy Red, Lil Wayne, Chase & Status, Stormzy, Artemas, Don Toliver, Nessa Barrett, Hozier, Florian Wahl, Adam Port, Stryv","afro house, drum and bass, hip hop, west coast hip hop, french pop, finnish hip hop, rage rap, rap, chanson, melodic house, bassline, bass house, uk garage, art pop, pop, hyperpop, k-pop, brazilian pop, funk pop, funk carioca, funk, pagode baiano, mexican hip hop, latin house, tech house, tropical house, jungle, grime, uk drill, house, metal, nu metal, alternative metal, rap metal, hard rock, heavy metal, rock"
hu,"DESH, Young Fly, Pogány Induló, BSW, T. Danny, Fehér Krisztián, KKevin, Manuel, Azahriah, Bruno Mars, The Weeknd, Billie Eilish, VZS, Bruno X Spacc, ÉBERKÓMA, Stromae, Pomme, Arcane, Lady Gaga, ByeAlex és a Slepp, Burai, Gracie Abrams, Dzsúdló, Playboi Carti, ROSÉ, Gigi Perez, Parno Graszt, Nagy Bogi, Beton.Hofi, ANUBII$, Moriones, Mario, Anitta, HENN, Hibrid, Chappell Roan, Jaber, Teddy Swims, David Guetta, OneRepublic, Ndotz","french pop, chanson, art pop, pop, rage rap, k-pop, brazilian pop, funk pop, funk carioca, funk, pagode baiano, edm, dance, soft pop"
lt,"Jessica Shy, Billie Eilish, Kendrick Lamar, Free Finga, Bruno Mars, Adomas Vyšniauskas, The Weeknd, ROSÉ, Stromae, Pomme, Arcane, Lola Young, Tyler, The Creator, Artemas, Sabrina Carpenter, Lady Gaga, Playboi Carti, Gigi Perez, Teddy Swims, Monika LIU, Anitta, Gracie Abrams, Chappell Roan, Chrystal, NOTION, Norbertas, Lefty Gunplay, Sel, Hozier, Evgenya Redko, Paulina Paukštaitytė, GJan, Jovani, Ledi Ais, Don Toliver, PAWSA, The Adventures Of Stevie V, The Marías, Lost Frequencies, Tom Odell, Tommy Richman, SZA, GloRilla, Sexyy Red, Lil Wayne, Adam Port, Stryv, Keinemusik, Orso, Malachiii","afro house, hip hop, west coast hip hop, french pop, k-pop, chanson, tech house, house, melodic house, art pop, pop, rage rap, brazilian pop, funk pop, funk carioca, funk, pagode baiano, bassline, drum and bass, bass house, uk garage, mexican hip hop, slap house, bedroom pop, tropical house, r&b, rap, latin house"
pl,"francis, bambi, Deemz, Szpaku, Mata, sanah, Bletka, Sobel, Bruno Mars, Billie Eilish, SVM!R, kuqe 2115, Otsochodzi, lohleq, Kubi Producent, Stromae, Pomme, Arcane, Malik Montana, Lady Gaga, FUJU, Def Jam World Tour, Quebonafide, Gedz, Odys, Żabson, Sir Mich, ROSÉ, Kleks, Gigi Perez, Jonatan, Gibbs, Roxie, Chappell Roan, Teddy Swims, Lonzo, Kinny Zimmer, Kaptur, Dawid Podsiadło, The Weeknd, Playboi Carti, Gracie Abrams, PRO8L3M, Daria Zawiałow, Chivas, MODELKI, Vłodarski, Cheatz, buffalo, Young Leosia","disco polo, french pop, chanson, art pop, pop, k-pop, rage rap"
