,year,round,from_country,to_country,total_points,tele_points,jury_points,from_capital,to_capital,distance
95,1957,final,gb,it,2,,,London,Rome,1434.3928220297348
96,1957,final,gb,gb,0,,,London,London,0.0
97,1957,final,gb,be,0,,,London,Brussels,319.69309808111706
98,1957,final,gb,ch,0,,,London,Bern,751.7597793553151
99,1957,final,gb,at,2,,,London,Vienna,1237.492543618928
100,1958,final,at,fr,7,,,Vienna,Paris,1036.0407521679517
101,1958,final,at,ch,0,,,Vienna,Bern,684.6758502979812
102,1958,final,at,it,1,,,Vienna,Rome,764.1043383207954
103,1958,final,at,se,1,,,Vienna,Stockholm,1242.9880588648116
104,1958,final,at,be,0,,,Vienna,Brussels,917.8641762519657
105,1958,final,at,at,0,,,Vienna,Vienna,0.0
106,1958,final,at,de,1,,,Vienna,Berlin,524.8127243398101
107,1958,final,at,dk,0,,,Vienna,København,871.9691649208438
108,1958,final,at,nl,0,,,Vienna,Amsterdam,935.9264958181074
109,1958,final,at,lu,0,,,Vienna,Luxembourg,765.8565588126423
110,1958,final,be,fr,1,,,Brussels,Paris,261.801328672752
111,1958,final,be,ch,2,,,Brussels,Bern,492.811168264156
112,1958,final,be,it,4,,,Brussels,Rome,1172.6152169771856
113,1958,final,be,se,1,,,Brussels,Stockholm,1283.8231729041247
114,1958,final,be,be,0,,,Brussels,Brussels,0.0
115,1958,final,be,at,1,,,Brussels,Vienna,917.8641762519657
116,1958,final,be,de,1,,,Brussels,Berlin,654.1588402686469
117,1958,final,be,dk,0,,,Brussels,København,768.7293452682493
118,1958,final,be,nl,0,,,Brussels,Amsterdam,173.5729934310053
119,1958,final,be,lu,0,,,Brussels,Luxembourg,187.14009930225865
120,1958,final,dk,fr,9,,,København,Paris,1028.2593187791992
121,1958,final,dk,ch,0,,,København,Bern,1036.7440357106227
122,1958,final,dk,it,0,,,København,Rome,1531.41171527301
123,1958,final,dk,se,0,,,København,Stockholm,521.8561875671421
124,1958,final,dk,be,1,,,København,Brussels,768.7293452682493
125,1958,final,dk,at,0,,,København,Vienna,871.9691649208438
126,1958,final,dk,de,0,,,København,Berlin,355.6111228302461
127,1958,final,dk,dk,0,,,København,København,0.0
128,1958,final,dk,nl,0,,,København,Amsterdam,622.7972574644137
129,1958,final,dk,lu,0,,,København,Luxembourg,802.6126363729492
