,at,be,dk,fr,de,it,lu,nl,ch,gb,se,mc,no,fi,es,pt,ie,mt,il,gr,tr,ma,cy,is,ba,hr,si,ee,hu,lt,pl,ro,ru,sk,mk,lv,ua,al,ad,by,bg,md,am,cz,ge,me,rs,az,sm,au
hr,0.3076923076923077,0.1276595744680851,0.3684210526315789,0.13636363636363635,0.24324324324324326,0.10714285714285714,0.16363636363636364,0.07407407407407407,0.26666666666666666,0.21212121212121213,0.22580645161290322,0.225,0.23333333333333334,0.2222222222222222,0.05263157894736842,0.2,0.21875,0.34285714285714286,0.26666666666666666,0.36363636363636365,0.09523809523809523,0.12903225806451613,0.5714285714285714,0.4375,0.225,1.0,0.42857142857142855,0.3076923076923077,0.47368421052631576,0.4,0.23529411764705882,0.5625,0.08928571428571429,0.4090909090909091,0.225,0.5,0.42857142857142855,0.225,0.225,0.05,0.5909090909090909,0.225,0.225,0.12121212121212122,0.5714285714285714,0.225,0.875,0.225,0.225,0.23333333333333334
si,0.2619047619047619,0.1956521739130435,0.3333333333333333,0.18181818181818182,0.2631578947368421,0.1,0.24528301886792453,0.1111111111111111,0.2826086956521739,0.2,0.3793103448275862,0.21428571428571427,0.3448275862068966,0.2,0.05,0.07692307692307693,0.3225806451612903,0.2564102564102564,0.23529411764705882,0.14285714285714285,0.13636363636363635,0.12121212121212122,0.25,0.3888888888888889,0.21428571428571427,0.42857142857142855,1.0,0.20454545454545456,0.42857142857142855,0.2571428571428571,0.35294117647058826,0.17391304347826086,0.05,0.13793103448275862,0.21428571428571427,0.3103448275862069,0.23076923076923078,0.21428571428571427,0.21428571428571427,0.045454545454545456,0.37037037037037035,0.21428571428571427,0.21428571428571427,0.3,0.34615384615384615,0.21428571428571427,0.5238095238095238,0.21428571428571427,0.21428571428571427,0.25806451612903225
ee,0.5416666666666666,0.38181818181818183,0.1951219512195122,0.25862068965517243,0.4375,0.08,0.38095238095238093,0.265625,0.5094339622641509,0.4318181818181818,0.2978723404255319,0.2,0.30434782608695654,0.125,0.03278688524590164,0.2222222222222222,0.3191489361702128,0.5909090909090909,0.10526315789473684,0.2619047619047619,0.045454545454545456,0.1836734693877551,0.36585365853658536,0.1794871794871795,0.2,0.3076923076923077,0.20454545454545456,1.0,0.275,0.625,0.15789473684210525,0.23076923076923078,0.16666666666666666,0.42105263157894735,0.2,0.5128205128205128,0.2926829268292683,0.2,0.2,0.047619047619047616,0.4146341463414634,0.2,0.2,0.2765957446808511,0.36585365853658536,0.2,0.358974358974359,0.2,0.2,0.30434782608695654
hu,0.3076923076923077,0.2619047619047619,0.18181818181818182,0.25,0.4375,0.10714285714285714,0.20754716981132076,0.11538461538461539,0.32558139534883723,0.1111111111111111,0.22580645161290322,0.1951219512195122,0.23333333333333334,0.2222222222222222,0.05263157894736842,0.2,0.21875,0.34285714285714286,0.26666666666666666,0.36363636363636365,0.09523809523809523,0.12903225806451613,0.375,0.21052631578947367,0.1951219512195122,0.47368421052631576,0.42857142857142855,0.275,1.0,0.3548387096774194,0.4,0.5625,0.12962962962962962,0.4090909090909091,0.1951219512195122,0.44,0.5789473684210527,0.1951219512195122,0.1951219512195122,0.05,0.4583333333333333,0.1951219512195122,0.1951219512195122,0.32142857142857145,0.5,0.1951219512195122,0.5789473684210527,0.1951219512195122,0.1951219512195122,0.15625
lt,0.5116279069767442,0.2641509433962264,0.25,0.14285714285714285,0.3953488372093023,0.07142857142857142,0.2786885245901639,0.18032786885245902,0.39215686274509803,0.4594594594594595,0.15555555555555556,0.26,0.1590909090909091,0.125,0.038461538461538464,0.25925925925925924,0.43243243243243246,0.4878048780487805,0.13793103448275862,0.3333333333333333,0.05714285714285714,0.225,0.46875,0.23333333333333334,0.26,0.4,0.2571428571428571,0.625,0.3548387096774194,1.0,0.20689655172413793,0.3,0.22950819672131148,0.25,0.26,0.7241379310344828,0.3333333333333333,0.26,0.26,0.029411764705882353,0.53125,0.26,0.26,0.13333333333333333,0.5666666666666667,0.26,0.4666666666666667,0.26,0.26,0.4166666666666667
pl,0.1,0.15,0.26666666666666666,0.16216216216216217,0.18181818181818182,0.14285714285714285,0.11764705882352941,0.0851063829787234,0.13636363636363635,0.13793103448275862,0.14814814814814814,0.16666666666666666,0.15384615384615385,0.36363636363636365,0.06451612903225806,0.09302325581395349,0.14285714285714285,0.1111111111111111,0.5,0.15,0.14285714285714285,0.16666666666666666,0.18181818181818182,0.3333333333333333,0.16666666666666666,0.23529411764705882,0.35294117647058826,0.15789473684210525,0.4,0.20689655172413793,1.0,0.2857142857142857,0.058823529411764705,0.2,0.16666666666666666,0.2608695652173913,0.35294117647058826,0.16666666666666666,0.16666666666666666,0.07692307692307693,0.2727272727272727,0.16666666666666666,0.16666666666666666,0.25,0.3,0.16666666666666666,0.35294117647058826,0.16666666666666666,0.16666666666666666,0.15384615384615385
ro,0.23076923076923078,0.13636363636363635,0.21052631578947367,0.14634146341463414,0.2647058823529412,0.12,0.10909090909090909,0.0784313725490196,0.2,0.12121212121212122,0.12903225806451613,0.15,0.13333333333333333,0.26666666666666666,0.08823529411764706,0.24390243902439024,0.125,0.2571428571428571,0.3333333333333333,0.5,0.1111111111111111,0.14285714285714285,0.5,0.25,0.15,0.5625,0.17391304347826086,0.23076923076923078,0.5625,0.3,0.2857142857142857,1.0,0.11538461538461539,0.47368421052631576,0.15,0.375,0.5,0.15,0.15,0.058823529411764705,0.45454545454545453,0.15,0.15,0.13333333333333333,0.42857142857142855,0.15,0.5,0.15,0.15,0.13333333333333333
ru,0.21739130434782608,0.14666666666666667,0.05357142857142857,0.136986301369863,0.27419354838709675,0.03225806451612903,0.2597402597402597,0.1518987341772152,0.21621621621621623,0.08955223880597014,0.028985507246376812,0.3898305084745763,0.014492753623188406,0.018518518518518517,0.07352941176470588,0.3384615384615385,0.07462686567164178,0.17647058823529413,0.0196078431372549,0.10526315789473684,0.0,0.11475409836065574,0.11864406779661017,0.01818181818181818,0.3898305084745763,0.08928571428571429,0.05,0.16666666666666666,0.12962962962962962,0.22950819672131148,0.058823529411764705,0.11538461538461539,1.0,0.10344827586206896,0.3898305084745763,0.1694915254237288,0.18867924528301888,0.3898305084745763,0.3898305084745763,0.08,0.13333333333333333,0.3898305084745763,0.3898305084745763,0.14754098360655737,0.2222222222222222,0.3898305084745763,0.125,0.3898305084745763,0.3898305084745763,0.06060606060606061
sk,0.3170731707317073,0.3023255813953488,0.16,0.325,0.3611111111111111,0.0967741935483871,0.24074074074074073,0.22,0.36363636363636365,0.10256410256410256,0.36666666666666664,0.15555555555555556,0.3793103448275862,0.19047619047619047,0.04878048780487805,0.1875,0.10526315789473684,0.47058823529411764,0.2222222222222222,0.32,0.08333333333333333,0.15151515151515152,0.3333333333333333,0.18181818181818182,0.15555555555555556,0.4090909090909091,0.13793103448275862,0.42105263157894735,0.4090909090909091,0.25,0.2,0.47368421052631576,0.10344827586206896,1.0,0.15555555555555556,0.3,0.375,0.15555555555555556,0.15555555555555556,0.09090909090909091,0.3103448275862069,0.15555555555555556,0.15555555555555556,0.3793103448275862,0.3333333333333333,0.15555555555555556,0.375,0.15555555555555556,0.15555555555555556,0.1111111111111111
mk,0.2631578947368421,0.13846153846153847,0.175,0.14516129032258066,0.2641509433962264,0.13043478260869565,0.26865671641791045,0.19696969696969696,0.21875,0.17307692307692307,0.1346153846153846,1.0,0.13725490196078433,0.10256410256410256,0.1509433962264151,0.2711864406779661,0.15384615384615385,0.25925925925925924,0.1111111111111111,0.10869565217391304,0.047619047619047616,0.09803921568627451,0.2,0.1891891891891892,1.0,0.225,0.21428571428571427,0.2,0.1951219512195122,0.26,0.16666666666666666,0.15,0.3898305084745763,0.15555555555555556,1.0,0.29545454545454547,0.21428571428571427,1.0,1.0,0.05,0.24444444444444444,1.0,1.0,0.2608695652173913,0.3170731707317073,1.0,0.275,1.0,1.0,0.1836734693877551
